game,publisher,min_rtp,max_rtp,default_rtp
"Jackpot Jester 50,000",NextGen,95.08,99.902,95.08
"Jackpot Jester 50,000",NextGen Gaming,95.1,99.9,
Magical Dice,Relax Gaming,99.875,99.875,
Craps,Rival Gaming,99.7,99.7,
Match Times Pay Jacks or Better,IGT,99.6,99.6,
Punto Banco,Red Tiger,99.55,99.55,
Blackjack Single Deck,Connective Games,99.5,99.5,
Goblins Cave,Playtech,95.7,99.3,
Aces and Faces,Rival Gaming,99.26,99.26,
Ocean Princess,Playtech,97.0,99.1,
Ugga Bugga,Playtech,96.0,99.1,
Twin Spin,Net Entertainment,91.1,99.1,
Fruit Shop,Net Entertainment,90.1,99.1,
Guns n' Roses,Net Entertainment,90.1,99.1,
Reel Rush,Net Entertainment,90.1,99.1,
Starburst,Net Entertainment,90.1,99.1,
Butterfly Staxx,Net Entertainment,90.0,99.1,
Deuces and Joker MH,Rival Gaming,99.07,99.07,
Book of 99,Relax Gaming,99.0,99.0,
Nemo's Voyage,WMS Gaming,95.0,99.0,
Mega Joker,Net Entertainment,76.9,99.0,
Mega Joker,NetEnt,99.0,99.0,
Cosmic Quest: Mystery Planets,Rival Gaming,98.95,98.95,
Tropic Reels,Playtech,97.0,98.9,
Jackpot 6000,NetEnt,98.9,98.9,
Thrones of Persia,Tom Horn Gaming,98.8,98.8,
Jackpot 6000,Net Entertainment,74.9,98.8,
Triple Profits,Playtech,95.5,98.7,
1429 Uncharted Seas,Thunderkick,98.5,98.5,
Touch Down HD,Play Labs,98.48,98.48,
Magic Quest,World Match,94.9,98.4,
Maximum,World Match,94.9,98.4,
Monkeys vs Sharks,World Match,94.9,98.4,
Read our Minesweeper and play for free,BGAMING,98.4,98.4,
Golden Legacy,MultiSlot,98.25,98.25,
The Mad Hatter HD,Play Labs,98.21,98.21,
Sheik Yer Money,Barcrest,96.2,98.2,
King Tut's Chamber,World Gaming,95.1,98.2,
Polar Adventure,World Match,95.1,98.2,
Lucky Pets,MultiSlot,98.19,98.19,
Portals & Dragons,Capecod Gaming,98.12,98.12,
100 Hand All American,NetEnt,98.11,98.11,
Farm Adventures HD,Play Labs,98.11,98.11,
Fire Rescue HD,Play Labs,98.11,98.11,
B-boy's Street HD,Play Labs,98.11,98.11,
Space Monsters HD,Play Labs,98.11,98.11,
Elite Commandos HD,Play Labs,98.11,98.11,
B-Boys Street,World Match,98.1,98.1,
Elite Commandos,World Match,98.1,98.1,
Farm Adventures,World Match,98.1,98.1,
Fruits Dimension,World Match,98.1,98.1,
Fruits Evolution,World Match,98.1,98.1,
Gentleman Thief,World Match,98.1,98.1,
Marching Legions,Relax Gaming,98.1,98.1,
Space Monsters,World Match,98.1,98.1,
3D Farm,World Match,94.9,98.1,
Into the Woods,World Match,94.4,98.1,
Zen Blade,World Match,94.4,98.1,
Double Joker,Rival Gaming,98.1,98.1,
Legend of the Pharaohs,Barcrest,96.1,98.1,96.1
Fruits Evolution HD,Play Labs,98.1,98.1,
Tequila Fiesta,BF games,98.08,98.08,
Fresh Fortune,BF games,98.05,98.05,
Jazz Spin,BF games,98.05,98.05,
Moon Shadow,Barcrest,96.07,98.01,96.07
Er Colosseo,Capecod Gaming,98.01,98.01,
Star Fortune,BF games,98.01,98.01,
Blood Suckers,Net Entertainment,98.0,98.0,
Money Cart,Relax Gaming,98.0,98.0,
Money Cart 2,Relax Gaming,98.0,98.0,
Rags to Riches,Cryptologic,98.0,98.0,
Crown Jewels,Barcrest,94.0,98.0,96.0
Rainbow Riches Pick'n'Mix,Barcrest,94.0,98.0,
Wild Knights: King's Ransom,Barcrest,94.0,98.0,
Ocean's Secret,Connective Games,88.0,98.0,
Kiss of Luck,Connective Games,86.0,98.0,
Polar Picnic,Connective Games,86.0,98.0,
Blood Suckers,NetEnt,98.0,98.0,
Böb: The Epic Viking Quest for the Sword of Tullemutt,NetEnt,98.0,98.0,
Rock On!,Rival Gaming,98.0,98.0,
Neon Strike,Capecod Gaming,98.0,98.0,
Vampires vs Werewolves,Amaya,98.0,98.0,
Cash Garden,MultiSlot,97.94,97.94,
Starmania,NextGen Gaming,97.9,97.9,
Starmania,NextGen,97.867,97.867,
Kitty Cash,1X2gaming,97.86,97.86,
Cowboys Go West HD,Play Labs,97.84,97.84,
Aquarium,World Match,97.8,97.8,
Diamond Croupier,World Match,97.8,97.8,
"Good Girl, Bad Girl",Betsoft,97.8,97.8,
Kings of Chicago,Net Entertainment,97.8,97.8,
Wolfpack Pays,NextGen Gaming,97.8,97.8,
White Rabbit,Big Time Gaming,97.2,97.8,
Burlesque,World Match,94.0,97.8,
Cowboys Go West,World Match,94.0,97.8,
Mermaid's Pearls,Realtime Gaming,80.0,97.8,
Kings of Chicago,NetEnt,97.8,97.8,
Twin Joker,StakeLogic,97.79,97.79,
Wolfpack Pays,NextGen,97.76,97.76,
Hero's War HD,Play Labs,97.76,97.76,
Dico80,World Match,97.7,97.7,
Golden Tour,Playtech,97.7,97.7,
Horror Castle,World Match,97.7,97.7,
The Last Crusade,World Match,97.7,97.7,
NYC Real Estate,World Match,94.9,97.7,
Alien Hunter,Playtech,90.9,97.7,
Celebrity in the Jungle,1X2gaming,97.7,97.7,
Downtown,1X2gaming,97.7,97.7,
Professor Bubbles,SkillOnNet,97.7,97.7,
Bank Robbery,MultiSlot,97.66,97.66,
Who Spun It?,Betsoft,97.64,97.64,
Gypsy Rose,Betsoft,97.63,97.63,
Xcalibur,Games Global,97.62,97.62,
Devil's Delight,Net Entertainment,97.6,97.6,
Diamonds Wild,Galewind Software,97.6,97.6,
Joker's Luck,Skywind Group,97.6,97.6,
Suerte De La Oca,Skywind Group,97.6,97.6,
Sugar Pop,Betsoft,97.6,97.6,
The Red White & Blue,Galewind Software,97.6,97.6,
Vinci La Gallina,Skywind Group,97.6,97.6,
Whospunit?,Betsoft,97.6,97.6,
Gold Rush Showdown,Ash Gaming,97.6,97.6,
Hercules the Invincible,World Match,95.0,97.6,
Xcalibur,World Match,95.0,97.6,
Devil's Delight,NetEnt,97.6,97.6,
SugarPop,Betsoft,97.6,97.6,
Totem's Wild,Cayetano Gaming,97.57,97.57,
Lucky Dragon Boat,Genesis,97.56,97.56,
Lady Glamour HD,Play Labs,97.55,97.55,
Hollywood Film HD,Play Labs,97.55,97.55,
888 Gold,Pragmatic Play,97.52,97.52,
Amigos Fiesta,Spinomenal,97.51,97.51,
Code Name: Jackpot,Spinomenal,97.51,97.51,
Bowl-a-Palooza,Galewind Software,97.5,97.5,
Brittonaire,Cozy Games,97.5,97.5,
Crazy 8 Line,Galewind Software,97.5,97.5,
Gems of Isis,Galewind Software,97.5,97.5,
Golden Goal,Galewind Software,97.5,97.5,
Hot Ink,Microgaming,97.5,97.5,
Hot Peppers,Galewind Software,97.5,97.5,
Lady Glamour,World Match,97.5,97.5,
Love Lab,World Match,97.5,97.5,
Lucky Lanterns,Galewind Software,97.5,97.5,
Retro Reels - Extreme Heat,Microgaming,97.5,97.5,
Safari Sam,Betsoft,97.5,97.5,
Simsalabim,Net Entertainment,97.5,97.5,
Take it or Stake it,Galewind Software,97.5,97.5,
Wild Orient,Microgaming,97.5,97.5,
Arena de Toros,World Match,94.8,97.5,
Scary Fruits,World Match,94.8,97.5,
Ghosts Night,World Match,94.1,97.5,
Glamour Hills,World Match,94.1,97.5,
Achilles,Realtime Gaming,91.0,97.5,
Aladdins Wishes,Realtime Gaming,91.0,97.5,
