game,publisher,min_rtp,max_rtp,
Blackjack Single Deck,Connective Games,99.5,99.5,
Book of 99,Relax Gaming,99.0,99.0,
Thrones of Persia,Tom Horn Gaming,98.8,98.8,
1429 Uncharted Seas,Thunderkick,98.6,98.6,
B-Boys Street,World Match,98.1,98.1,
Elite Commandos,World Match,98.1,98.1,
Farm Adventures,World Match,98.1,98.1,
Fruits Dimension,World Match,98.1,98.1,
Fruits Evolution,World Match,98.1,98.1,
Gentleman Thief,World Match,98.1,98.1,
Marching Legions,Relax Gaming,98.1,98.1,
Space Monsters,World Match,98.1,98.1,
Blood Suckers,Net Entertainment,98.0,98.0,
Money Cart,Relax Gaming,98.0,98.0,
Money Cart 2,Relax Gaming,98.0,98.0,
Rags to Riches,Cryptologic,98.0,98.0,
Starmania,NextGen Gaming,97.9,97.9,
Aquarium,World Match,97.8,97.8,
Diamond Croupier,World Match,97.8,97.8,
"Good Girl, Bad Girl",Betsoft,97.8,97.8,
Kings of Chicago,Net Entertainment,97.8,97.8,
Wolfpack Pays,NextGen Gaming,97.8,97.8,
Dico80,World Match,97.7,97.7,
Golden Tour,Playtech,97.7,97.7,
Horror Castle,World Match,97.7,97.7,
The Last Crusade,World Match,97.7,97.7,
Devil's Delight,Net Entertainment,97.6,97.6,
Diamonds Wild,Galewind Software,97.6,97.6,
Gypsy Rose,Betsoft,97.6,97.6,
Joker's Luck,Skywind Group,97.6,97.6,
Magicious,Thunderkick,97.6,97.6,
Suerte De La Oca,Skywind Group,97.6,97.6,
Sugar Pop,Betsoft,97.6,97.6,
The Red White & Blue,Galewind Software,97.6,97.6,
Vinci La Gallina,Skywind Group,97.6,97.6,
Whospunit?,Betsoft,97.6,97.6,
Bowl-a-Palooza,Galewind Software,97.5,97.5,
Brittonaire,Cozy Games,97.5,97.5,
Crazy 8 Line,Galewind Software,97.5,97.5,
Gems of Isis,Galewind Software,97.5,97.5,
Golden Goal,Galewind Software,97.5,97.5,
Hot Ink,Microgaming,97.5,97.5,
Hot Peppers,Galewind Software,97.5,97.5,
Lady Glamour,World Match,97.5,97.5,
Love Lab,World Match,97.5,97.5,
Lucky Lanterns,Galewind Software,97.5,97.5,
Retro Reels - Extreme Heat,Microgaming,97.5,97.5,
Safari Sam,Betsoft,97.5,97.5,
Simsalabim,Net Entertainment,97.5,97.5,
Sushi Bar,Betsoft,97.5,97.5,
Take it or Stake it,Galewind Software,97.5,97.5,
Wild Orient,Microgaming,97.5,97.5,
At the Copa,Betsoft,97.4,97.4,
Couch Potato,Microgaming,97.4,97.4,
High 5,Microgaming,97.4,97.4,
Texas Tea,IGT,97.4,97.4,
After Night Falls,Betsoft,97.3,97.3,
Big Bad Wolf,Quickspin,97.3,97.3,
Børk the Berserker Hack 'n' Slash Edition,Thunderkick,97.3,97.3,
Børk The Berzerker,Thunderkick,97.3,97.3,
Domintors Deluxe,BGaming,97.3,97.3,
Sizable Win,Tom Horn Gaming,97.3,97.3,
White Rabbit,Big Time Gaming,97.2,97.8,
Sultan's Fortune,Playtech,97.2,97.3,
Beowulf,Quickspin,97.2,97.2,
Greedy Goblins,Betsoft,97.2,97.2,
John Hunter Big Game Hunter,PlayPearls,97.2,97.2,
Machine Gun Unicorn,Genesis Gaming,97.2,97.2,
Zombies,Net Entertainment,97.2,97.2,
A Night Out,Playtech,97.1,97.1,
Captain's Treasure,Playtech,97.1,97.1,
Demolition Squad,Net Entertainment,97.1,97.1,
Desert Treasure,Playtech,97.1,97.1,
Easter Surprise,Playtech,97.1,97.1,
Football Rules,Playtech,97.1,97.1,
Freya Arrow of the North,PlayPearls,97.1,97.1,
Fruit Million,BGaming,97.1,97.1,
Halloween Fortune,Playtech,97.1,97.1,
Highway Kings,Playtech,97.1,97.1,
Jack Hammer 2,Net Entertainment,97.1,97.1,
Jackpot Diamonds,Mazooma,97.1,97.1,
Lotto Madness,Playtech,97.1,97.1,
Lucky Lady's Charm Deluxe,Novomatic,97.1,97.1,
Mad Dash,Microgaming,97.1,97.1,
Medusa II,NextGen Gaming,97.1,97.1,
Monster Wins,NextGen Gaming,97.1,97.1,
Rage to Riches,Play'n Go,97.1,97.1,
Santa Surprise,Playtech,97.1,97.1,
Secrets of Atlantis,Net Entertainment,97.1,97.1,
Sinbad,Quickspin,97.1,97.1,
Spud O'Reilly's Crops of Gold,Playtech,97.1,97.1,
Summer Holiday,Microgaming,97.1,97.1,
Supernova,Quickspin,97.1,97.1,
The Tipsy Tourist,Betsoft,97.1,97.1,
Toki Time,Thunderkick,97.1,97.1,
Treasure Island,Quickspin,97.1,97.1,
Tut's Twister,Yggdrasil Gaming,97.1,97.1,
Ocean Princess,Playtech,97.0,99.1,
Tropic Reels,Playtech,97.0,98.9,
5-Reel Drive,Microgaming,97.0,97.0,
7 Oceans,Microgaming,97.0,97.0,
9k Yeti,Yggdrasil Gaming,97.0,97.0,
All Lucky Clovers,BGaming,97.0,97.0,
Amazon Lady,Skywind Group,97.0,97.0,
Amun's Book,Zeus Play,97.0,97.0,
Barber Shop,Thunderkick,97.0,97.0,
Barber Shop Uncut,Thunderkick,97.0,97.0,
Baron Samedi,Yggdrasil Gaming,97.0,97.0,
Bells and Whistles,Galewind Software,97.0,97.0,
Butterfly Hot 10,Zeus Play,97.0,97.0,
Coins of Egypt,Net Entertainment,97.0,97.0,
Colt P.I.,PlayPearls,97.0,97.0,
Columbus Deluxe,Novomatic,97.0,97.0,
Dr Lovemore,Playtech,97.0,97.0,
Epic Joker,Relax Gaming,97.0,97.0,
Faming Fruit,Tom Horn Gaming,97.0,97.0,
Fortunes of Sparta,Blueprint Gaming,97.0,97.0,
Frogs 'n Flies,Amaya Gaming,97.0,97.0,
Fruit Warp,Thunderkick,97.0,97.0,
Hit the Route,BGaming,97.0,97.0,
Iron Sky The Coming Race,PlayPearls,97.0,97.0,
Jack Hammer,Net Entertainment,97.0,97.0,
Jin Qian Wa,Playtech,97.0,97.0,
Joker's Luck Deluxe,Skywind Group,97.0,97.0,
King of Slots,Net Entertainment,97.0,97.0,
Lady of the Forest,Zeus Play,97.0,97.0,
Long Pao,Net Entertainment,97.0,97.0,
Lost Temple,Amaya Gaming,97.0,97.0,
Lucky Lady Moon,BGaming,97.0,97.0,
Magic Charm,Zeus Play,97.0,97.0,
Magic of Oz,Skywind Group,97.0,97.0,
Magical Grove,Amaya Gaming,97.0,97.0,
Mexican Cook,World Match,97.0,97.0,
Monkey 27,Tom Horn Gaming,97.0,97.0,
Monopoly Electric Wins,WMS Gaming,97.0,97.0,
