game,publisher,min_rtp,max_rtp,default_rtp
Alien Robots,NetEnt,96.3,96.6,96.6
Aliens (NetEnt),NetEnt,96.4,96.4,
Arabian Nights (Netent),NetEnt,90.6,95.6,95.6
Attraction,NetEnt,96.7,96.7,
Beach,NetEnt,96.8,96.8,
Beetle Frenzy,NetEnt,94.0,94.0,
Big Bang (NetEnt),NetEnt,96.0,96.0,
Blood Suckers Demo & Review,NetEnt,98.0,98.0,
Böb: The Epic Viking Quest for the Sword of Tullemutt,NetEnt,98.0,98.0,
Bicicleta,Yggdrasil,96.3,96.3,
Boom Brothers,NetEnt,96.4,96.4,
Champion of the track,NetEnt,96.5,96.5,
Cosmic Fortune,NetEnt,96.9,96.9,
Creature from the Black Lagoon,NetEnt,96.47,96.47,
Crime Scene (NetEnt),NetEnt,96.7,96.7,
Crusade of Fortune,NetEnt,95.9,95.9,
Dazzle Me,NetEnt,96.9,96.9,
Dead or Alive,NetEnt,95.03,95.03,
Demolition Squad,NetEnt,97.1,97.1,
Devil's Delight (NetEnt),NetEnt,97.6,97.6,
Diamond Dogs,NetEnt,96.5,96.5,
Disco Spins,NetEnt,96.4,96.4,
Dracula (NetEnt),NetEnt,96.58,96.58,
Dragon Island,NetEnt,96.6,96.6,
Drive: Multiplier Mayhem Demo & Slot Review,NetEnt,96.7,96.7,
Eggomatic,NetEnt,96.5,96.5,
Egyptian Heroes,NetEnt,96.7,96.7,
Elements: The Awakening,NetEnt,96.02,96.02,
Evolution,NetEnt,96.3,96.3,
Excalibur,NetEnt,95.08,95.08,
Fishy Fortune,NetEnt,95.4,95.4,
Fisticuffs,NetEnt,96.7,96.7,
Flowers,NetEnt,96.32,96.32,
Flowers Christmas Edition,NetEnt,96.32,96.32,
Fortune Teller (NetEnt),NetEnt,93.3,93.3,
Frankenstein (NetEnt),NetEnt,96.6,96.6,
Fruit Case,NetEnt,96.42,96.42,
Fruit Shop (NetEnt),NetEnt,94.05,94.05,
Fruit Shop Christmas Edition,NetEnt,96.71,96.71,
The Funky Seventies,NetEnt,96.5,96.5,
Geisha Wonders,NetEnt,93.1,93.1,
Ghost Pirates (NetEnt),NetEnt,96.88,96.88,
Glow,NetEnt,,,
Go Bananas,NetEnt,96.91,96.91,
Gold Rush (NetEnt),NetEnt,95.4,95.4,
Golden Shamrock,NetEnt,96.4,96.4,
Gonzo's Quest Slot Review & Free Demo,NetEnt,95.97,95.97,
Guns N' Roses,NetEnt,94.07,94.07,
The Groovy Sixties,NetEnt,96.5,96.5,
Hall of Gods,NetEnt,95.3,95.3,
Hook's Heroes,NetEnt,96.82,96.82,
Icy Wonders,NetEnt,93.5,93.5,
Jack and the Beanstalk Slot Review & Free Demo,NetEnt,96.3,96.3,
Jack Hammer,NetEnt,96.96,96.96,
Jack Hammer 2,NetEnt,97.07,97.07,
Jackpot 6000,NetEnt,98.9,98.9,
Jungle Games,NetEnt,96.6,96.6,
Kings of Chicago,NetEnt,97.8,97.8,
King of Slots,NetEnt,96.96,96.96,
Koi Princess,NetEnt,96.23,96.23,
Lights,NetEnt,96.1,96.1,
Lost Island (NetEnt),NetEnt,96.5,96.5,
Lucky 8 Line,NetEnt,96.8,96.8,
Lucky Angler,NetEnt,96.4,96.4,
Magic Love,NetEnt,96.6,96.6,
Magic Portals,NetEnt,96.64,96.64,
"Mega Fortune Slot Review, Free Demo & Best Online Casinos to Play in 2025",NetEnt,96.0,96.0,
Mega Joker Demo & Slot Review,NetEnt,99.0,99.0,
Mr Green: Moonlight,NetEnt,96.7,96.7,
Muse: Wild Inspiration,NetEnt,97.0,97.0,
Mystery at the Mansion,NetEnt,95.1,95.1,
